ID,Date Category,Sk_Age,Site,Region,bone_d13C,bone_d15N,dentine_d13C,dentine_d15N,enamel_d13C,D13C_dent-bone,D15N_dent-bone,D13C_tooth_enamel_dent,E13Cenamel-dentinecoll,E13Cdent-bone,,
SBR16_13,D-F,Adult,Southam,Central,-19.90,9.65,-19.44,9.18,-12.35,0.46,-0.46,7.09,7.23,0.471039409,,
SRD88_17,B,M5,"Mill Hill, Deal",Kent and East Sussex,-19.67,10.21,-19.04,13.39,-13.57,0.63,3.19,5.46,5.57,0.645020894,,
SRD88_22,B/C,M4,"Mill Hill, Deal",Kent and East Sussex,-19.91,9.39,-19.80,9.63,-13.13,0.11,0.25,6.67,6.81,0.110873945,,
SRD88_25B,B/C,F4,"Mill Hill, Deal",Kent and East Sussex,-20.06,8.62,-20.18,9.64,-13.87,-0.11,1.02,6.31,6.44,-0.112592464,,
SRD88_33,B-D,F4,"Mill Hill, Deal",Kent and East Sussex,,,-19.79,10.20,-13.28,,,6.51,6.64,,,
SRD88_34,B-D,M4,"Mill Hill, Deal",Kent and East Sussex,-19.77,9.75,-19.70,9.62,-13.22,0.07,-0.13,6.48,6.61,0.072432202,,
SRD88_57,B/C,M4,"Mill Hill, Deal",Kent and East Sussex,-20.27,9.17,-19.61,8.59,-13.01,0.65,-0.58,6.60,6.73,0.668208354,,
SRD88_73,B-D,F4,"Mill Hill, Deal",Kent and East Sussex,-20.9,8.5,-20.26,9.11,-13.92,0.64,0.61,6.34,6.47,0.653321077,,
SRD88_75,C,M4/5,"Mill Hill, Deal",Kent and East Sussex,-20.11,9.13,-19.63,9.02,-13.96,0.49,-0.11,5.67,5.78,0.496316238,,
SRD88_76,C,M4/5,"Mill Hill, Deal",Kent and East Sussex,,,-19.88,9.58,-14.17,,,5.71,5.83,,,
SRD88_80,B,M4,"Mill Hill, Deal",Kent and East Sussex,,,-19.70,10.22,-14.26,,,5.44,5.55,,,
SRD88_82,C,M5,"Mill Hill, Deal",Kent and East Sussex,,,-20.06,10.23,-13.40,,,6.66,6.79,,,
SRD88_83,C,F5,"Mill Hill, Deal",Kent and East Sussex,-20.02,8.22,-19.32,8.37,-11.93,0.69,0.15,7.39,7.54,0.705453215,,
SRD88_84,C,F3/4,"Mill Hill, Deal",Kent and East Sussex,-20.07,8.48,-19.89,9.84,-13.91,0.17,1.37,5.99,6.11,0.176882841,,
SRD88_89,B,M4,"Mill Hill, Deal",Kent and East Sussex,,,-19.91,10.23,-13.63,,,6.28,6.41,,,
SRD88_90,B/C,M5,"Mill Hill, Deal",Kent and East Sussex,-20.04,9.26,-19.70,10.06,-15.03,0.34,0.80,4.68,4.77,0.347633946,,
SRD88_93,B/C,M5,"Mill Hill, Deal",Kent and East Sussex,-19.69,10.03,-19.45,10.24,-13.37,0.24,0.21,6.08,6.20,0.243800265,,
SRD88_94,C,F5,"Mill Hill, Deal",Kent and East Sussex,-19.7,9.9,-19.63,10.80,-14.08,0.07,0.90,5.55,5.66,0.070726648,,
SRD88_98,C,U3,"Mill Hill, Deal",Kent and East Sussex,-19.91,9.02,-19.88,9.08,-13.82,0.04,0.06,6.06,6.18,0.038091921,,
SRD88_104,B-D,F5,"Mill Hill, Deal",Kent and East Sussex,-20.03,9.69,-19.75,11.15,-14.11,0.27,1.46,5.64,5.76,0.27993959,,
SRD88_105A,C,U3,"Mill Hill, Deal",Kent and East Sussex,-19.99,8.92,-19.64,9.44,-13.17,0.35,0.52,6.46,6.59,0.361221664,,
SRD88_105B,B/C,M5,"Mill Hill, Deal",Kent and East Sussex,-19.75,9.75,-19.84,9.93,-13.81,-0.09,0.18,6.03,6.16,-0.096233987,,
SRD88_105C,C/D,F5,"Mill Hill, Deal",Kent and East Sussex,-20.17,9.81,-20.01,10.27,-13.63,0.15,0.46,6.38,6.51,0.157509941,,
SRD88_106,B,F3/4,"Mill Hill, Deal",Kent and East Sussex,-20.26,8.75,-19.76,9.56,-12.60,0.51,0.81,7.15,7.30,0.517825866,,
SRD87_25A,B-D,F5,"Mill Hill, Deal",Kent and East Sussex,-20.4,9.9,-20.39,11.34,-14.86,-0.01,1.47,5.52,5.64,-0.009187226,,
SNT050_11,B/C,M4,"Stanton, Suffolk",East,-20.57,9.92,-20.36,10.69,,0.21,0.76,,,0.215771758,,
SNT050_17,B-E,M4,"Stanton, Suffolk",East,-19.75,9.91,-19.48,9.53,-13.50,0.27,-0.38,5.98,6.10,0.273739692,,
SNT050_19,C/D,F5,"Stanton, Suffolk",East,-20.51,10.27,-19.96,10.70,-14.94,0.55,0.43,5.02,5.12,0.561174867,,
SNT050_26,C,M4,"Stanton, Suffolk",East,-20.63,10.83,-20.39,10.57,,0.24,-0.26,,,0.242673341,,
SNT050_27,D-F,M5/6,"Stanton, Suffolk",East,-19.96,10.72,-19.83,11.05,-13.70,0.13,0.33,6.12,6.25,0.132987272,,
SNT050_28,C-F,F5,"Stanton, Suffolk",East,-20.43,10.29,-20.73,8.93,,-0.31,-1.36,,,-0.31135973,,
SNT050_29,C-F,F4,"Stanton, Suffolk",East,-20.48,9.63,-19.85,10.35,,0.63,0.72,,,0.644532719,,
SNT050_31,C-F,M4,"Stanton, Suffolk",East,-19.91,9.94,-19.58,9.95,-14.09,0.33,0.01,5.48,5.59,0.338403491,,
SNT050_32,C,F4,"Stanton, Suffolk",East,-19.80,9.85,-20.26,10.84,,-0.46,0.99,,,-0.467930282,,
SNT050_35.1_average,D/E,F4,"Stanton, Suffolk",East,-20.07,9.58,-19.69,9.91,-14.89,0.38,0.33,4.81,4.90,0.386422159,,
SNT050_44,C/D,M4,"Stanton, Suffolk",East,-20.26,11.13,-19.94,10.61,,0.31,-0.52,,,0.319130875,,
SNT050_51,A-C,M4,"Stanton, Suffolk",East,-20.03,10.50,-20.06,10.32,-14.06,-0.04,-0.18,6.00,6.13,-0.036395622,,
SNT050_57,A/B,F5,"Stanton, Suffolk",East,-20.18,9.96,-20.00,10.12,-14.49,0.18,0.16,5.50,5.62,0.185407763,,
SNT050_63,B-D,Adult,"Stanton, Suffolk",East,-20.43,10.65,-20.20,10.35,-14.68,0.23,-0.29,5.52,5.63,0.237859631,,
SNT050_66,A/B,Adult,"Stanton, Suffolk",East,-20.14,9.97,-19.48,11.23,-14.73,0.66,1.26,4.75,4.84,0.671181351,,
SNT050_72,A-C,M4,"Stanton, Suffolk",East,-20.32,10.94,-19.78,10.24,,0.54,-0.70,,,0.549500465,,
SNT050_74,B/C,Adult,"Stanton, Suffolk",East,-20.27,11.16,-20.04,11.99,-13.83,0.23,0.83,6.22,6.34,0.233398034,,
SNT050_78,A-C,2/F3,"Stanton, Suffolk",East,-20.62,10.52,-20.40,10.73,,0.22,0.21,,,0.221227342,,
SNT050_81,D/E,U3,"Stanton, Suffolk",East,-19.94,9.21,-19.59,9.27,-14.58,0.35,0.06,5.00,5.10,0.35916144,,
TRM10_3083,D/E,F3/4,Trumpington Meadows,Cambridge and South Cambs,-20,9.4,-19.9,10.9,-14.88,0.13,1.45,4.99,5.09,0.129591837,,
TRM10_3087,C/D,F3/4,Trumpington Meadows,Cambridge and South Cambs,-20.3,10.5,-19.8,10.5,-14.33,0.52,0.00,5.45,5.56,0.532816168,,
TRM10_3123,D,F3/4,Trumpington Meadows,Cambridge and South Cambs,-20.1,9.2,-19.8,9.7,-14.38,0.28,0.48,5.44,5.55,0.290165663,,
TRM10_3163,C/D,U4,Trumpington Meadows,Cambridge and South Cambs,-20.1,10.3,-19.9,9.6,-15.54,0.15,-0.66,4.41,4.50,0.153757186,,
MEL305,B/C,M5/6,Melbourn Water Lane,Cambridge and South Cambs,-19.9,10.4,-19.9,10.1,,-0.03,-0.28,,,-0.025507601,,
MEL312,C/D,M5/6,Melbourn Water Lane,Cambridge and South Cambs,-20.2,10.3,-20.1,9.9,,0.09,-0.36,,,0.096618357,,
MEL1002,B/C,M5/6,Melbourn Water Lane,Cambridge and South Cambs,-20.2,9.4,-20.1,10.9,,0.07,1.54,,,0.075185412,,
MEL1008,B/C,M4,Melbourn Water Lane,Cambridge and South Cambs,-20.1,9.7,-20.1,11.4,,0.00,1.70,,,0,,
MEL1012,C/D,M4/5,Melbourn Water Lane,Cambridge and South Cambs,-20.2,10.1,-20.0,10.3,,0.21,0.24,,,0.218411921,,
MEL1017,C/D,M3,Melbourn Water Lane,Cambridge and South Cambs,-20.2,10.5,-20.1,11.4,,0.08,0.93,,,0.077226645,,
MEL1021,C,F4/5,Melbourn Water Lane,Cambridge and South Cambs,-20.4,11,-20.2,13.0,,0.17,2.03,,,0.177283245,,
MEL1032,C/D,M5,Melbourn Water Lane,Cambridge and South Cambs,-20,10.4,-19.9,8.8,,0.07,-1.61,,,0.075510204,,
MEL1034,C/D,M4/5,Melbourn Water Lane,Cambridge and South Cambs,-20.2,10,-20.3,10.1,,-0.07,0.14,,,-0.067360686,,
MEL1041,C/D,U6,Melbourn Water Lane,Cambridge and South Cambs,-20.2,10.3,-20.6,10.5,,-0.37,0.15,,,-0.376607471,,
MEL1045,C/D,M4/5,Melbourn Water Lane,Cambridge and South Cambs,-20.4,10.2,-20.4,10.3,,0.04,0.09,,,0.044235742,,
MEL1145,C/D,M4/5,Melbourn Water Lane,Cambridge and South Cambs,-19.8,10.2,-19.8,10.9,,0.02,0.65,,,0.019383799,,
MEL1165,C/D,F5,Melbourn Water Lane,Cambridge and South Cambs,-20.3,9.9,-20.1,9.8,,0.19,-0.10,,,0.191214998,,
MEL1169,C/D,F4,Melbourn Water Lane,Cambridge and South Cambs,-20.4,9.9,-20.5,10.5,,-0.11,0.64,,,-0.113651831,,
MEL1184,C/D,M6,Melbourn Water Lane,Cambridge and South Cambs,-20.3,9.8,-20.0,10.2,,0.25,0.40,,,0.25960328,,
MEL1187,C/D,M5,Melbourn Water Lane,Cambridge and South Cambs,-20,9.7,-19.8,8.8,,0.22,-0.86,,,0.228911565,,
MEL1188,B/C,M6,Melbourn Water Lane,Cambridge and South Cambs,-20,9.8,-20.0,10.6,,0.01,0.85,,,0.008163265,,
MEL1189,C/D,F5,Melbourn Water Lane,Cambridge and South Cambs,-20.2,9.4,-20.0,9.6,,0.24,0.22,,,0.247669592,,
MEL1204,C/D,M4,Melbourn Water Lane,Cambridge and South Cambs,-20.2,9.1,-20.3,10.1,,-0.07,1.00,,,-0.075185412,,
MEL1229,B,F4,Melbourn Water Lane,Cambridge and South Cambs,-20.2,10.3,-20.1,9.6,,0.15,-0.69,,,0.147989386,,
MEL1263,B/C,F4,Melbourn Water Lane,Cambridge and South Cambs,-20.2,10.3,-20.3,11.1,,-0.08,0.77,,,-0.083010138,,
MEL1267,B/C,F3/4,Melbourn Water Lane,Cambridge and South Cambs,-20.4,9.3,-20.2,10.1,,0.22,0.78,,,0.224241187,,
MEL1305,C/D,F6,Melbourn Water Lane,Cambridge and South Cambs,-19.9,9.9,-19.5,10.9,,0.35,1.00,,,0.358126722,,
MEL1312,C/D,M5,Melbourn Water Lane,Cambridge and South Cambs,-19.8,10,-19.8,9.8,,-0.01,-0.18,,,-0.010542066,,
MEL1348,C/D,M4/5,Melbourn Water Lane,Cambridge and South Cambs,-19.6,9.6,-19.9,9.1,,-0.33,-0.46,,,-0.341017272,,
MEL1370,C/D,F4,Melbourn Water Lane,Cambridge and South Cambs,-20.3,10,-20.2,10.5,,0.14,0.46,,,0.139158246,,
MEL1386,C/D,M5,Melbourn Water Lane,Cambridge and South Cambs,-20.1,9,-20.0,9.5,,0.10,0.50,,,0.101370888,,
MEL1398,C/D,F5/6,Melbourn Water Lane,Cambridge and South Cambs,-20.1,9.7,-20.3,11.7,,-0.17,2.03,,,-0.176208457,,
COPP-36318,E,F4,Coppergate,Yorkshire and North Lincolnshire,-20.4,9.8,,,-13.8,,,,,,,
COPP-30944,E/F,M5,Coppergate,Yorkshire and North Lincolnshire,-20,10.1,,,-14.4,,,,,,,
COPP-15548,F,F5/6,Coppergate,Yorkshire and North Lincolnshire,-20.4,9.8,,,-14.9,,,,,,,
AA,D-G,M5,Masham,Yorkshire and North Lincolnshire,-19.8,10.3,-19.90,10.70,-13.2,-0.10,0.40,6.70,6.84,-0.102019996,,
B,D-G,F5/6,Masham,Yorkshire and North Lincolnshire,-20.1,9.7,-20.30,9.10,-12.8,-0.20,-0.60,7.50,7.66,-0.204102459,,
C,D-G,F5,Masham,Yorkshire and North Lincolnshire,-20.6,10.1,-20.80,10.80,-14.7,-0.20,0.70,6.10,6.23,-0.204206657,,
CC,D-G,M5,Masham,Yorkshire and North Lincolnshire,-20.5,11.4,,,-14.2,,,,,,,
F,D-G,M5/6,Masham,Yorkshire and North Lincolnshire,-20.2,9.8,-20.10,10.70,-13,0.10,0.90,7.10,7.25,0.102061645,,
G,D-G,F5/6,Masham,Yorkshire and North Lincolnshire,-20.5,11.4,-20.00,10.80,-13,0.50,-0.60,7.00,7.14,0.510464523,,
HH,D-G,U5,Masham,Yorkshire and North Lincolnshire,-20.6,11.1,-20.40,11.40,-15.1,0.20,0.30,5.30,5.41,0.204206657,,
I,D-G,M4,Masham,Yorkshire and North Lincolnshire,-20.1,10.7,-20.60,10.00,-14.6,-0.50,-0.70,6.00,6.13,-0.510256149,,
M,F,M5,Masham,Yorkshire and North Lincolnshire,-21,10.4,-20.80,11.70,-14.3,0.20,1.30,6.50,6.64,0.204290092,,
R,D-G,M4-6,Masham,Yorkshire and North Lincolnshire,,,-20.50,10.90,-15.8,,,4.70,4.80,,,
S,D-G,M4-6,Masham,Yorkshire and North Lincolnshire,-20.3,10.9,-20.20,12.30,-13,0.10,1.40,7.20,7.35,0.102072063,,
U,D-G,M5,Masham,Yorkshire and North Lincolnshire,,,-20.70,11.40,-15.1,,,5.60,5.72,,,
Z,D-G,M3,Masham,Yorkshire and North Lincolnshire,-20.6,10.2,-20.40,10.50,-14.7,0.20,0.30,5.70,5.82,0.204206657,,
I,D-G,F5,Masham,Yorkshire and North Lincolnshire,-20.3,9.7,-20.60,10.30,-13.9,-0.30,0.60,6.70,6.84,-0.306216189,,
XI,D-G,M5,Masham,Yorkshire and North Lincolnshire,-20.2,10.8,-20.30,10.80,-13.5,-0.10,0.00,6.80,6.94,-0.102061645,,
XIIIa,D-G,2,Masham,Yorkshire and North Lincolnshire,-20.6,9.2,,,-14.5,,,,,,,
XIIIb,D-G,F5,Masham,Yorkshire and North Lincolnshire,-19.85,11.7,-20.20,11.70,-12.8,-0.35,0.00,7.40,7.55,-0.357088201,,
XV,D-G,2/U3,Masham,Yorkshire and North Lincolnshire,-20.5,9.3,,,-14.6,,,,,,,
XXII,D-G,F5/6,Masham,Yorkshire and North Lincolnshire,-20.5,9.8,-20.50,10.10,-14.4,0.00,0.30,6.10,6.23,0,,
XXIIIa,D-G,F5,Masham,Yorkshire and North Lincolnshire,-20.3,9.9,-20.10,10.10,-13,0.20,0.20,7.10,7.25,0.204144126,,
XXIIIai,D-G,F5,Masham,Yorkshire and North Lincolnshire,,,-20.70,10.50,-14.9,,,5.80,5.92,,,
XXIIIaii,D-G,F5,Masham,Yorkshire and North Lincolnshire,,,-20.70,10.70,-15.1,,,5.60,5.72,,,
XXIV,D-G,M5,Masham,Yorkshire and North Lincolnshire,-20.7,10,-20.50,10.10,-14.5,0.20,0.10,6.00,6.13,0.204227509,,
Sk1783,F,M4/5,St Johns College,Upper Thames and Chilterns,-19.6,12.7,,,-13.82,,,,,,,
Sk1785,F,M4/5,St Johns College,Upper Thames and Chilterns,-20,12.1,,,-13.3,,,,,,,
Sk1787,F,M4/5,St Johns College,Upper Thames and Chilterns,-19.8,12.6,,,-14.25,,,,,,,
Sk1798,F,M3/4,St Johns College,Upper Thames and Chilterns,-19.5,11.2,,,-13.73,,,,,,,
Sk1852,F,M3/4,St Johns College,Upper Thames and Chilterns,-18.7,11.6,,,-12.74,,,,,,,
Sk1872,F,M3/4,St Johns College,Upper Thames and Chilterns,-19.6,12,,,-12.75,,,,,,,
Sk1968,F,M4/5,St Johns College,Upper Thames and Chilterns,-19.7,12.5,,,-13.3,,,,,,,
Sk1990,F,M3/4,St Johns College,Upper Thames and Chilterns,-19.9,12.5,,,-14.31,,,,,,,
Sk2057,F,M3/4,St Johns College,Upper Thames and Chilterns,-19.6,11,,,-13.31,,,,,,,
1,D,F3,Westfield Farm Ely,East,-20.3,10.6,,,-15,,,,,,,
2,D,F3,Westfield Farm Ely,East,-21,12.3,,,-15.1,,,,,,,
3,D,M3,Westfield Farm Ely,East,-20.3,12.7,,,-14.1,,,,,,,
4,D,M4,Westfield Farm Ely,East,-20.1,12.6,,,-15,,,,,,,
5,D,M3/4,Westfield Farm Ely,East,-19.7,11.3,,,-15.3,,,,,,,
6,D,M5,Westfield Farm Ely,East,-19.4,9.6,,,-14.8,,,,,,,
7,D,F5/6,Westfield Farm Ely,East,-19.7,9.4,,,-15.2,,,,,,,
8,D,F5,Westfield Farm Ely,East,-19.9,9.7,,,-14.8,,,,,,,
11,D,F5/6,Westfield Farm Ely,East,-20.3,11.7,,,-15.3,,,,,,,
12,D,M5,Westfield Farm Ely,East,-20.2,12.2,,,-14.7,,,,,,,
13,D,M5,Westfield Farm Ely,East,-20.9,12.3,,,-15.9,,,,,,,
14,D,M5,Westfield Farm Ely,East,-20.2,11.5,,,-14.2,,,,,,,
15,D,M4,Westfield Farm Ely,East,-20.2,11.1,,,-15.7,,,,,,,
NC 2611,E/F,M3/4,"Neat's Court, Sheppey",Kent and East Sussex,,,-19.8,11.5,-13.2,,,6.60,6.73,,,
BG030,C-G,U3,Black Gate Newcastle,Northeast,-20.61,10.8,-20.90,10.60,,-0.29,-0.20,,,-0.296102676,,
BG053,C-G,F4/5,Black Gate Newcastle,Northeast,-20.78,10.91,-20.83,11.28,,-0.05,0.37,,,-0.051061049,,
BG155,C-G,M4,Black Gate Newcastle,Northeast,-20.49,11.3,-20.02,12.81,,0.47,1.51,,,0.479831753,,
BG174,C-G,0,Black Gate Newcastle,Northeast,-20.03,14.07,-20.44,14.40,,-0.41,0.33,,,-0.418380154,,
BG241,C-G,0,Black Gate Newcastle,Northeast,-20.6,12.12,-19.64,13.96,,0.96,1.84,,,0.980191954,,
BG252,C-G,M4,Black Gate Newcastle,Northeast,-20.67,10.6,-21.20,10.50,,-0.53,-0.10,,,-0.541186321,,
BG314,C-G,U3/4,Black Gate Newcastle,Northeast,-20.66,10.54,-20.43,10.71,,0.23,0.17,,,0.234852043,,
BG386,C-G,M4,Black Gate Newcastle,Northeast,-20.34,11.35,-20.89,10.86,,-0.55,-0.49,,,-0.561419268,,
BG433,C-G,M4/5,Black Gate Newcastle,Northeast,-19.99,11.2,-20.73,10.20,,-0.74,-1.00,,,-0.755094336,,
BG477,F,1,Black Gate Newcastle,Northeast,-19.72,12.64,-19.59,12.49,,0.13,-0.15,,,0.132615171,,
BG492,C-G,1,Black Gate Newcastle,Northeast,-20.68,13.88,-20.53,11.80,,0.15,-2.08,,,0.153167504,,
BG498,C-G,F3,Black Gate Newcastle,Northeast,-19.12,12.12,-19.14,12.96,,-0.02,0.84,,,-0.020389854,,
BG499,C-G,M4,Black Gate Newcastle,Northeast,-20.63,12.32,-19.70,10.84,,0.93,-1.48,,,0.949590043,,
BG527,C-G,F4,Black Gate Newcastle,Northeast,-19.97,12.16,-18.79,15.45,,1.18,3.29,,,1.204044774,,
BG534,C-G,F4,Black Gate Newcastle,Northeast,-20.75,11.2,-21.07,9.90,,-0.32,-1.30,,,-0.3267807,,
BG567,C-G,M4,Black Gate Newcastle,Northeast,-19.76,11.3,-18.95,11.90,,0.81,0.60,,,0.826328246,,
BG575,F,U3,Black Gate Newcastle,Northeast,-19.89,10.3,-19.91,10.23,,-0.02,-0.07,,,-0.020405873,,
BG576,C-G,U3,Black Gate Newcastle,Northeast,-20.75,10.6,-20.51,12.50,,0.24,1.90,,,0.245085525,,
BG581,C-G,U3,Black Gate Newcastle,Northeast,-20.16,11.01,-20.22,9.82,,-0.06,-1.19,,,-0.061234487,,
BG591,C-G,F5,Black Gate Newcastle,Northeast,-20.17,10.8,-20.42,9.80,,-0.25,-1.00,,,-0.255146301,,
BG601,C-G,U3,Black Gate Newcastle,Northeast,-20.81,9.06,-20.44,9.72,,0.37,0.66,,,0.377863336,,
BG626,C-G,M4,Black Gate Newcastle,Northeast,-20.51,11.34,-20.26,12.31,,0.25,0.97,,,0.255234867,,
BG635,C-G,F4/5,Black Gate Newcastle,Northeast,-20.99,11.79,-20.83,11.60,,0.16,-0.19,,,0.163430404,,
BG637,C-G,M4/5,Black Gate Newcastle,Northeast,-20.02,10.5,-21.01,9,,-0.99,-1.50,,,-1.010224698,,
BG654,C-G,M4/5,Black Gate Newcastle,Northeast,-21.2,11.1,-21.21,10.9,,-0.01,-0.20,,,-0.010216592,,
BG659,C-G,F4/5,Black Gate Newcastle,Northeast,-20.37,12.64,-20.9,11.7,,-0.53,-0.94,,,-0.541020589,,
BLE104,B/C,M4,Broughton Lodge,Central,-20.3,11.01,-20.90,10.70,,-0.60,-0.31,,,-0.612432377,,
BLE66,B/C,U3,Broughton Lodge,Central,-20.2,9.8,-21.10,10.80,,-0.90,1.00,,,-0.918554807,,
FCR03,F/G,F5,Fillingham,Yorkshire and North Lincolnshire,-20.37,10.47,-20.51,9.82,,-0.14,-0.65,,,-0.142911099,,
FCR04,G,M4/5,Fillingham,Yorkshire and North Lincolnshire,-20.63,11.84,-20.47,10.94,,0.16,-0.90,,,0.16337033,,
5005,F/G,0/1,Raunds Furnells,Central,-19.72,10.36,-20.49,10.38,,-0.77,0.02,,,-0.78548986,,
5012,F/G,0,Raunds Furnells,Central,-20.03,12.27,-20.49,10.38,,-0.46,-1.89,,,-0.469402125,,
5021,F/G,F4/5,Raunds Furnells,Central,-20.34,10.24,-20.49,10.38,,-0.16,0.15,,,-0.15821735,,
5023,F/G,0/1,Raunds Furnells,Central,-19.76,9.40,-20.49,10.38,,-0.74,0.98,,,-0.749812547,,
5070,F/G,1/2,Raunds Furnells,Central,-19.49,13.47,-20.49,10.38,,-1.01,-3.09,,,-1.024971571,,
5082,F/G,2,Raunds Furnells,Central,-19.38,14.31,-20.49,10.38,,-1.11,-3.93,,,-1.131936938,,
5093,F/G,F4/5,Raunds Furnells,Central,-19.46,11.06,-20.49,10.38,,-1.03,-0.68,,,-1.050441593,,
5102,F/G,0,Raunds Furnells,Central,-19.28,12.03,-20.49,10.38,,-1.21,-1.65,,,-1.233787421,,
5109,F/G,0,Raunds Furnells,Central,-18.88,12.52,-20.49,10.44,,-1.61,-2.07,,,-1.63871675,,
5125,F/G,2,Raunds Furnells,Central,-20.04,11.43,-20.49,10.40,,-0.45,-1.03,,,-0.4586355,,
5135,F/G,2,Raunds Furnells,Central,-19.59,11.33,-20.49,10.39,,-0.90,-0.94,,,-0.922795166,,
5140,F/G,0,Raunds Furnells,Central,-18.90,15.82,-20.49,10.39,,-1.59,-5.42,,,-1.620184988,,
5154,F/G,F4,Raunds Furnells,Central,-19.61,11.50,-20.49,10.39,,-0.88,-1.11,,,-0.902400558,,
5170,F/G,1,Raunds Furnells,Central,-19.54,10.69,-20.49,10.39,,-0.95,-0.30,,,-0.973706093,,
5187,F/G,F4,Raunds Furnells,Central,-19.81,9.45,-20.49,10.42,,-0.68,0.97,,,-0.692104026,,
5212,F/G,1,Raunds Furnells,Central,-20.10,10.56,-20.49,10.39,,-0.39,-0.17,,,-0.397551957,,
5239,F/G,F4/5,Raunds Furnells,Central,-19.85,12.40,-20.49,10.39,,-0.64,-2.00,,,-0.657667428,,
5264,F/G,1,Raunds Furnells,Central,-19.36,13.69,-20.49,10.40,,-1.13,-3.29,,,-1.151569077,,
5273,F/G,0,Raunds Furnells,Central,-20.53,11.13,-20.49,10.40,,0.04,-0.72,,,0.041578915,,
5292,F/G,0,Raunds Furnells,Central,-20.17,12.75,-20.49,10.40,,-0.32,-2.35,,,-0.330948272,,
5338,F/G,2,Raunds Furnells,Central,-19.97,8.47,-20.49,10.40,,-0.52,1.93,,,-0.530003939,,
5345,F/G,1,Raunds Furnells,Central,-19.74,10.28,-20.49,10.40,,-0.75,0.12,,,-0.769543409,,
5354,F/G,1,Raunds Furnells,Central,-20.21,11.37,-20.49,10.40,,-0.28,-0.97,,,-0.285078741,,
WCL22,B-F,F5,Whitton,Yorkshire and North Lincolnshire,-20.23,11.29,-20.35,12.3,,-0.12,1.01,,,-0.122477724,,
WCL22,B-F,F5,Whitton,Yorkshire and North Lincolnshire,-20.23,11.29,-20.68,11.7,,-0.45,0.41,,,-0.459291466,,
WCL22,B-F,F5,Whitton,Yorkshire and North Lincolnshire,-20.23,11.29,-20.79,13.8,,-0.56,2.51,,,-0.571562714,,
WCL30,B-F,F4,Whitton,Yorkshire and North Lincolnshire,-20.42,10.9,-20.63,11.6,,-0.21,0.70,,,-0.21437759,,
WCL30,B-F,F4,Whitton,Yorkshire and North Lincolnshire,-20.42,10.9,-20.76,11.5,,-0.34,0.60,,,-0.347087527,,
WCL30,B-F,F4,Whitton,Yorkshire and North Lincolnshire,-20.42,10.9,-20.56,10.9,,-0.14,0.00,,,-0.142918394,,